"","evidence_variable","mean","standard_deviation"
"1","looks","2.36363636363636","1.05528970602217"
"2","sound","0.878787878787879","0.96038975673863"
"3","motion","2.3030303030303","1.10354113213012"
"4","variables","1.90909090909091","0.722998805481221"
"5","seq_looping","2.39393939393939","0.89928422715631"
"6","boolean_exp","1.84848484848485","1.12141685272505"
"7","operators","1.33333333333333","1.02062072615966"
"8","conditional","2.12121212121212","1.2931931351691"
"9","coordination","1.45454545454545","1.09232862188163"
"10","ui_event","1.84848484848485","0.870388279778489"
"11","parallelization","0.727272727272727","0.452267016866645"
"12","initialize_location","0.575757575757576","0.501890365910663"
"13","initialize_looks","0.757575757575758","0.435194139889245"
