,block,score,category
1,say,1,looks
2,saydurationelapsedfrom,1,looks
3,saynothing,1,looks
4,think,1,looks
5,thinkdurationelapsedfrom,1,looks
6,cometofront,2,looks
7,hide,2,looks
8,nextbackground,2,looks
9,nextcostume,2,looks
10,show,2,looks
11,showbackground,2,looks
12,changebackgroundindexby,3,looks
13,changeblurby,3,looks
14,changebrightnessshiftby,3,looks
15,changecostumeindexby,3,looks
16,changefisheyeby,3,looks
17,changegraphiceffectby,3,looks
18,changehueshiftby,3,looks
19,changemosaiccountby,3,looks
20,changepixelatecountby,3,looks
21,changepointillizesizeby,3,looks
22,changesaturationshiftby,3,looks
23,changesizeby,3,looks
24,changestretchby,3,looks
25,changevisibilityby,3,looks
26,changewaterrippleby,3,looks
27,changewhirlby,3,looks
28,changexposby,3,looks
29,filterreset,3,looks
30,gobackbylayers,3,looks
31,looklike,3,looks
32,scale,3,looks
33,setblurto,3,looks
34,setbrightnessshiftto,3,looks
35,setfisheyeto,3,looks
36,setgraphiceffectto,3,looks
37,sethueshiftto,3,looks
38,setmosaiccountto,3,looks
39,setpixelatecountto,3,looks
40,setpointillizesizeto,3,looks
41,setsaturationshiftto,3,looks
42,setsizeto,3,looks
43,setstretchto,3,looks
44,setvisibilityto,3,looks
45,setwaterrippleto,3,looks
46,setwhirlto,3,looks
47,playsound,1,sound
48,doplaysoundandwait,2,sound
49,drumdurationelapsedfrom,2,sound
50,noteondurationelapsedfrom,2,sound
51,bounceoffedge,1,motion
52,forward,1,motion
53,gotospriteormouse,1,motion
54,heading,1,motion
55,pointindirection,1,motion
56,pointtowards,1,motion
57,turnawayfromedge,1,motion
58,turnleft,1,motion
59,turnright,1,motion
60,glidesecstoxyelapsedfrom,2,motion
61,gotoxy,2,motion
62,gotoxydurationelapsedfrom,2,motion
63,changeyposby,3,motion
64,xpos,3,motion
65,setxpos,3,motion
66,ypos,3,motion
67,setypos,3,motion
68,changevarby,2,variables
69,hidevariable,2,variables
70,readvariable,2,variables
71,setvarto,2,variables
72,showvariable,2,variables
73,appendtolist,3,variables
74,contentsoflist,3,variables
75,deletelineoflist,3,variables
76,getlineoflist,3,variables
77,insertatoflist,3,variables
78,linecountoflist,3,variables
79,listcontains,3,variables
80,setlineoflistto,3,variables
81,doforever,2,seq_looping
82,doforeverif,2,seq_looping
83,dorepeat,3,seq_looping
84,dountil,3,seq_looping
85,dowaituntil,3,seq_looping
86,colorsees,1,boolean_exp
87,isloud,1,boolean_exp
88,keypressed,1,boolean_exp
89,mousepressed,1,boolean_exp
90,sensorpressed,1,boolean_exp
91,timer,1,boolean_exp
92,touching,1,boolean_exp
93,islessthan,2,boolean_exp
94,isequalto,2,boolean_exp
95,isgreaterthan,2,boolean_exp
96,andoperator,3,boolean_exp
97,oroperator,3,boolean_exp
98,not,3,boolean_exp
99,multiplyoperator,1,operators
100,addoperator,1,operators
101,subtractoperator,1,operators
102,divideoperator,1,operators
103,islessthan,1,operators
104,isequalto,1,operators
105,isgreaterthan,1,operators
106,modoperator,1,operators
107,abs,1,operators
108,rounded,1,operators
109,sqrt,1,operators
110,concatenatewith,2,operators
111,letterof,2,operators
112,stringlength,2,operators
113,appendtolist,3,operators
114,contentsoflist,3,operators
115,deletelineoflist,3,operators
116,getlineoflist,3,operators
117,insertatoflist,3,operators
118,linecountoflist,3,operators
119,listcontains,3,operators
120,doforeverif,1,conditional
121,doif,1,conditional
122,doifelse,2,conditional
123,waitelapsedfrom,1,coordination
124,eventhatmorph,2,coordination
125,whenhatblockmorph,2,coordination
126,broadcast,2,coordination
127,dowaituntil,3,coordination
128,eventhatmorphstartclicked,1,ui_event
129,keyeventhatmorph,2,ui_event
130,mouseclickeventhatmorph,2,ui_event
131,dobroadcastandwait,3,ui_event
132,eventhatmorphstartclicked,1,seq_looping
